Name,z,RA_J2000,Dec _J2000,wd,wserr,p30d,p30serr,ellipd,ellipderr,etad,etaerr,c0.4R500,ec0.4R500,0.4R500_kpc/h71
,,deg ,deg,,,,,,,degrees,degrees,,,kpc/h71
ACCEPT2.0 Name,Redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Centroid shift in 20 bins inside 0.4R500,Centroid shift error,P3/P0 power law ratio (r<0.4R500),P3/P0 power law ratio,Ellipticity (ratio of minor/major axes) inside 0.4R500,Error on Ellipticity,Position Angle in degrees E of N,Position Angle error,Concentration (flux < 0.15 R500/flux < 0.4 R500),error on concentration,Rmax for the quantities in this table
MCXC_J0303.7-7752,0.274,45.9413,-77.8792,0.0225,0.0024,6.03E-08,3.7E-08,0.949,0.008,49.490,4.910,0.477,0.011,566
ACT-CL_J0304-4921,0.392,46.0673,-49.357,0.0820,0.0077,6.80E-08,1.1E-07,0.853,0.016,58.540,2.969,-,-,412
IC_1880_GROUP,0.0338,46.6186,-9.7312,0.0310,0.0042,2.63E-07,1.2E-07,0.929,0.013,12.550,5.073,-,-,305
MACS_J0308.9+2645,0.324,47.2331,26.7611,0.0133,0.0037,3.57E-08,2.0E-08,0.947,0.029,-83.390,5.460,0.524,0.010,541
ABELL_3094,0.068,47.8989,-26.8985,0.0661,0.0046,1.96E-07,7.9E-08,0.907,0.006,49.000,2.138,0.355,0.020,325
ABELL_3112,0.0752,49.4905,-44.2384,0.0566,0.0002,7.69E-08,5.4E-09,0.734,0.002,18.310,0.299,0.762,0.003,471
400d_J0318-0302,0.37,49.6437,-3.0509,0.0864,0.0110,1.80E-07,2.4E-07,0.944,0.044,-81.580,15.050,-,-,382
ABELL_3126,0.086,52.1494,-55.718,0.0263,0.0054,1.23E-08,1.6E-08,0.977,0.019,-1.156,15.040,0.535,0.012,430
MACS_J0329.6-0211,0.45,52.4237,-2.1966,0.0678,0.0142,3.28E-08,3.0E-08,0.947,0.009,-26.860,5.401,0.662,0.007,438
ABELL_3128,0.06,52.4609,-52.5804,0.0329,0.0027,1.36E-08,2.1E-08,0.985,0.012,10.070,20.540,0.414,0.017,356
MCXC_J0331.1-2100,0.188,52.775,-21.0089,0.0467,0.0060,4.44E-08,3.1E-08,0.907,0.010,79.750,2.777,0.715,0.010,462
400d_J0340-2840,0.068,55.105,-28.6774,0.0146,0.0039,1.15E-07,1.2E-07,0.969,0.016,-65.720,20.060,-,-,425
MCXC_J0340.8-4542,0.07,55.2241,-45.6768,0.1386,0.0085,3.75E-08,8.3E-08,0.964,0.014,-76.950,9.359,0.251,0.034,300
ABELL_3158,0.06,55.7139,-53.6297,0.0194,0.0030,4.72E-08,7.5E-09,0.896,0.002,-80.170,0.497,0.382,0.003,436
ACT-CL_J0346-5438,0.55,56.7326,-54.6485,0.0286,0.0070,3.09E-07,3.0E-07,0.889,0.073,86.270,6.389,-,-,352
MCXC_J0352.9+1941,0.109,58.2457,19.683,0.0258,0.0010,3.28E-09,4.8E-09,0.898,0.006,57.990,1.787,0.724,0.010,349
MACS_J0358.8-2955,0.425,59.7263,-29.9259,0.0580,0.0036,2.30E-08,1.8E-08,0.872,0.007,53.650,1.613,0.509,0.010,481
400d_J0405-4100,0.686,61.3517,-41.0054,0.0478,0.0089,1.31E-07,2.2E-07,0.870,0.018,-65.600,4.714,-,-,318
ABELL_0478,0.088,63.355,10.4653,0.0070,0.0034,5.86E-09,9.5E-10,0.863,0.002,45.600,0.358,0.733,0.002,542
MACS_J0416.1-2403,0.42,64.0394,-24.0655,0.0807,0.0067,2.06E-07,1.0E-07,0.753,0.007,37.560,0.936,0.344,0.014,490
MCXC_J0425.8-0833,0.04,66.4634,-8.5604,0.0039,0.0006,1.11E-09,3.7E-09,0.954,0.006,-22.140,4.681,0.661,0.013,352
MACS_J0429.6-0253,0.399,67.4,-2.8854,0.0546,0.0046,7.57E-08,7.6E-08,0.896,0.014,-13.600,4.344,0.712,0.012,438
MCXC_J0439.0+0715,0.23,69.7523,7.2684,0.0277,0.0021,6.99E-08,3.8E-08,0.893,0.016,6.869,2.865,0.554,0.010,459
MCXC_J0439.0+0520,0.208,69.759,5.3454,0.0414,0.0020,6.37E-09,1.6E-08,0.958,0.025,81.740,7.382,0.734,0.013,393
MCXC_J0443.1+0210,0.19,70.7914,2.172,0.0226,0.0035,1.83E-09,2.7E-08,0.937,0.014,66.050,6.622,-,-,362
ABELL_0514,0.071,72.007,-20.4478,0.2954,0.0058,1.12E-06,3.3E-07,0.794,0.006,-69.680,0.978,0.326,0.015,374
ABELL_3292,0.172,72.483,-44.6731,0.0427,0.0081,5.60E-08,4.9E-08,0.919,0.010,57.270,4.273,0.479,0.017,386
ABELL_0521,0.2533,73.5278,-10.2209,0.0722,0.0029,3.04E-07,4.8E-08,0.853,0.003,-5.438,0.618,-,-,482
SPT-CL_J0509-5342,0.463,77.3385,-53.7035,0.0173,0.0044,6.03E-07,2.9E-07,0.874,0.017,-62.430,3.601,-,-,506
ABELL_3322,0.2,77.5713,-45.3215,0.0139,0.0039,8.52E-09,2.2E-08,0.887,0.010,-59.140,2.873,0.520,0.012,505
ABELL_3330,0.092,78.6647,-49.0581,0.0430,0.0064,7.08E-08,8.5E-08,0.935,0.009,19.990,4.617,-,-,355
ABELL_0539,0.028,79.1557,6.4406,0.0135,0.0006,2.61E-08,7.6E-09,0.956,0.002,45.970,1.936,0.413,0.009,333
MCXC_J0520.7-1328,0.34,80.1751,-13.4803,0.0275,0.0065,6.92E-09,2.3E-08,0.936,0.031,-82.640,5.291,-,-,461
CXOU_J052215-481816,0.296,80.5635,-48.3045,0.0620,0.0063,7.61E-08,2.5E-07,0.766,0.022,-66.530,3.239,-,-,422
ABELL_3343,0.191,81.4534,-47.2528,0.0105,0.0021,5.69E-08,3.9E-08,0.924,0.011,-65.580,4.077,0.536,0.012,479
MCXC_J0528.2-2942,0.158,82.0607,-29.7219,0.0137,0.0025,2.92E-07,1.1E-07,0.908,0.010,33.870,3.000,0.410,0.018,393
RBS_0653,0.284,82.2209,-39.4705,0.0291,0.0012,1.33E-07,2.9E-08,0.953,0.004,-52.700,2.716,0.530,0.005,546
PLCKESZ_G286.58-31.25,0.21,82.8695,-75.1768,0.0246,0.0066,2.92E-08,4.9E-08,0.838,0.009,-17.470,1.721,0.388,0.016,481
ESO3060170-A,0.036,85.0278,-40.8366,0.0106,0.0009,3.96E-08,1.0E-08,0.793,0.003,-5.538,0.701,0.588,0.013,327
ABELL_3364,0.148,86.9065,-31.8712,0.0399,0.0041,7.33E-08,3.0E-08,0.950,0.007,18.810,4.462,0.517,0.009,519
ABELL_0550,0.099,88.2159,-21.0536,0.0580,0.0041,5.83E-08,3.8E-08,0.883,0.008,-49.440,1.954,0.417,0.013,461
MACS_J0553.4-3342,0.407,88.3574,-33.7085,0.0551,0.0043,2.94E-07,5.4E-08,0.889,0.005,85.640,1.469,0.424,0.006,580
SPT-CL_J0559-5249,0.611,89.9283,-52.8309,0.1083,0.0088,1.05E-07,1.6E-07,0.903,0.052,4.504,4.012,-,-,319
SPT-CL_J0615-5746,0.972,93.9661,-57.7794,0.0284,0.0072,1.75E-07,8.8E-08,0.873,0.008,36.360,2.134,0.518,0.014,401
ABELL_S0579,0.152,94.1339,-39.7968,0.0366,0.0032,2.92E-07,1.4E-07,0.887,0.012,-14.780,3.232,0.453,0.018,410
ACT-CL_J0616-5227,0.71,94.1427,-52.4521,0.0169,0.0073,2.16E-07,3.0E-07,0.907,0.020,-34.790,6.091,-,-,391
ABELL_3395_SW,0.051,96.6806,-54.5435,0.0948,0.0031,2.33E-06,1.9E-07,0.850,0.004,-39.710,0.942,0.325,0.011,427
ABELL_3399,0.203,99.3088,-48.4719,0.0884,0.0044,6.92E-07,1.5E-07,0.794,0.008,-56.590,1.106,0.399,0.010,491
