Name, Z,RA,Dec, MCK0, MCK0_68min, MCK0_68max, MCK100, MCK100_68min, MCK100_68max, MCAlpha, MCAlpha_68min, MCAlpha_68max, MCChiSq, K10kpc_mcmc, K10kpc_mcmc_min, K10kpc_mcmc_max, K20kpc_mcmc, K20kpc_mcmc_min, K20kpc_mcmc_max
,,deg ,deg,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,MCMC Median Entropy excess,MCMC Entropy excess min 1 sigma,MCMC Entropy excess max 1 sigma,MCMC Median Entropy at 100 kpc,MCMC Entropy at 100 kpc min 1 sigma,MCMC Entropy entropy at 100 kpc max 1 sigma,MCMC Entropy power law slope,MCMC min entropy power law slope,MCMC max entropy power law slope,MCMC estimated reduced chi square,MCMC Entropy at 10 kpc,MCMC Min Entropy at 10 kpc,MCMC Max Entropy at 10 kpc,MCMC Entropy at 20 kpc,MCMC Min Entropy at 20 kpc,MCMC Max Entropy at 20 kpc
ABELL_0611,0.288,120.2370,36.0566,50.8,41,60.7,177.2,167.3,187.8,1.19,1.06,1.3,0.46,59.6,52,66.9,70.3,64,76.6
SDSS-C4_3062,0.064,122.5973,42.2739,17.4,-26.4,35.8,197.4,182.4,217.6,0.89,0.58,1.09,0.04,40.6,30.5,51.9,63,54.8,71.2
ABELL_0644,0.07,124.3585,-7.5088,97.3,86.2,106.1,175.9,170.5,182.9,1.49,1.31,1.65,1.41,99.2,90,107.8,104.2,96.4,111.4
MCXC_J0819.6+6336,0.119,124.8580,63.6238,14.5,-27.9,27.4,165,152.8,177.7,0.75,0.48,0.89,0.23,40.2,34,46.2,60.4,54.4,66.4
NGC_2563_GROUP,0.0163,125.1485,21.0679,2.1,1.5,2.4,352.2,296.2,392.7,1.1,1.03,1.15,0.21,29.5,27.7,31.4,60.8,56.5,65.2
UGCl_120,0.029,125.8402,4.3726,2.1,1.3,3.7,167.3,155.9,188.3,1.08,1.02,1.21,0.17,15.6,14.3,16.9,30.7,28.1,33.3
ZwCl_0823.2+0425,0.225,126.4913,4.2467,34.7,-9.8,52.5,166.6,152.6,189.1,1,0.7,1.16,0.05,44.4,26.2,61.7,60.7,47.5,74.1
2MFGC_06756,0.241,128.7284,55.5722,14.5,13.1,16.4,107.3,101.9,110,1.25,1.21,1.31,1.82,19.9,18.8,20.9,26.9,26,27.9
ABELL_3411,0.169,130.4664,-17.4627,74.8,33.1,97.3,241.8,232.1,255.5,0.98,0.77,1.12,0.52,88.8,67.6,108.3,107.8,92,123.8
NSC_J084254+292723,0.194,130.7329,29.4576,22.4,19.6,24.8,125.5,118.2,131.6,1.48,1.39,1.59,0.55,25.7,23.4,28,31.8,29.7,33.7
ABELL_0697,0.282,130.7399,36.3664,223.7,184.7,248.5,283.2,264.8,304.2,1.58,1.39,1.68,0.52,218.1,187.8,250.2,222.2,193.3,253
ZwCl_0847.2+3617,0.378,132.5278,36.0712,231,196.7,313.5,294.8,280.9,352.9,1.46,1.26,1.71,0.24,257.4,202,313.9,261.7,210.3,316.6
ZwCl_0857.9+2107,0.23,135.1535,20.8944,11.9,7,15.5,98.4,93.6,103.4,1.31,1.2,1.4,2.8,16,12.8,19,22.4,20.3,24.4
ABELL_0744,0.073,136.8355,16.6517,7.6,-31.1,35.1,180.4,168.6,185.5,0.5,0.36,0.66,0.71,63.2,55.8,70.2,85.1,78.4,91
SDSS_+137.3+11.0+0.18,0.18,137.3031,10.9748,57.9,5.2,81.5,196.7,188.4,209,0.72,0.55,0.81,1.42,78.6,58.6,99.5,98.5,83.7,114.2
2MASSi_J0913454+405628,0.442,138.4395,40.9413,23.5,18.8,27.4,119.8,115.7,126.5,1.17,1.09,1.22,0.25,30.1,26.9,33,38.6,36.1,41
ABELL_0773,0.217,139.4711,51.7280,206,180.1,232.7,246.4,234.8,263.2,1.68,1.52,1.94,0.91,208.6,181.7,233.5,210.7,184.8,235
Hydra_A,0.055,139.5246,-12.0957,13,12.4,13.4,115.1,114.3,116.1,1.09,1.07,1.11,8.01,21.3,21,21.5,30.6,30.4,30.9
NSC_J092017+303027,0.258,140.1118,30.4927,169.3,-116,197.6,330.4,318.8,380.2,0.7,0.32,0.72,0.32,166.8,107.2,226.2,203.8,160.6,246.2
ABELL_0795,0.136,141.0241,14.1739,20.3,17,24,140.9,135.7,144.8,1.07,1.01,1.12,1.29,30.8,28.5,33.3,42.1,40.1,44.1
UGC_05088_GROUP,0.027,143.3573,34.0481,-0.4,-45.8,-6.7,87.3,63.5,81.2,0.62,0.21,0.5,0.1,22.4,20.9,23.9,33.3,31.4,35.3
WHL_J093820.9+520243,0.36,144.5847,52.0484,107.9,84,119.8,152.6,143.5,168.3,2.34,1.63,2.68,0.1,103.4,85.7,120.2,105.4,88.6,120.7
ABELL_0868,0.153,146.3589,-8.6568,229.2,219.8,232.7,231,221.7,234.5,3.07,3.07,3.09,0.65,225.2,219.8,232.7,225.2,219.8,232.7
GALEX_J094712.4+762313,0.354,146.8028,76.3871,22.5,19.7,24.8,99.1,93.5,103,1.64,1.57,1.72,2.1,24.1,21.8,26.4,27.8,26,29.7
ZwCl_0949.6+5207,0.214,148.2056,51.8842,29.6,27.1,32,125.8,121.6,129.5,1.37,1.31,1.42,1.04,33.7,31.7,35.7,40.2,38.6,41.8
ABELL_0907,0.153,149.5917,-11.0640,12.5,9.7,14.8,151.8,147.5,155,0.94,0.91,0.96,3.49,28.5,26.9,30,43.2,41.6,44.8
PLCKESZ_G264.41+19.48,0.24,150.0067,-30.2772,96.5,21.3,143.7,273.4,256.9,292.4,0.79,0.61,0.95,0.6,122.7,84.5,159.7,145.8,116.6,174
HCG_042,0.0133,150.0593,-19.6363,0.4,0.8,1.7,111.9,118.7,172.6,0.77,0.83,0.97,0.57,19.4,18.3,20.5,35,32.2,37.9
MCXC_J1000.5+4409,0.154,150.1307,44.1458,24.4,15.1,32.6,126.7,118.6,134.7,1.03,0.9,1.18,0.11,34.4,28.7,40.1,44.4,40.3,48.3
ZwCl_1006.1+1201,0.221,152.1981,11.7908,133.4,110.2,153.5,201.8,191.3,214.7,1.34,1.17,1.5,0.99,135.8,116,155.6,141.2,123,159.9
MCXC_J1010.5-1239,0.301,152.6355,-12.6633,53.4,-47,60.3,243.6,238,263.3,0.64,0.43,0.66,0.91,84.7,62.9,105.6,115.7,101.4,131.5
ABELL_0963,0.206,154.2652,39.0471,39.6,26.8,50.8,190.2,179.3,198.7,0.82,0.74,0.91,0.74,62.2,55.7,69,79.6,74,85
ABELL_0970,0.059,154.3481,-10.6851,91.6,62.5,111.9,208.1,200.7,221.9,1.1,0.9,1.24,0.64,100.1,81.3,117.9,112.2,96.2,126.9
MCXC_J1022.0+3830,0.049,155.5416,38.5230,13,-1.5,26.3,219.1,197.4,245,0.8,0.6,1.08,0.36,46.4,42.1,50.3,69.8,63.4,76.5
ABELL_0980,0.158,155.6182,50.1061,141.3,99.5,150.8,212.4,199.7,234.1,1.32,0.93,1.42,0.29,133,111.4,156,141.7,122.9,163.2
BLOX_J1023.6+0411.1,0.291,155.9154,4.1863,14.3,12.5,15.4,104.2,101.4,108.1,1.38,1.33,1.41,4.22,17.9,16.8,18.9,24,23.2,24.8
WHL_J102339.9+490838,0.144,155.9162,49.1445,156.7,127.5,181.4,199.8,194.2,220.7,1.48,1.15,1.63,0.66,157,132.6,182.7,161,138.5,185
ABELL_3444,0.253,155.9592,-27.2564,18.2,15.7,20.7,96,91.8,99.3,1.4,1.34,1.47,0.87,21.4,19.4,23.3,26.4,25,28
ABELL_1033,0.126,157.9363,35.0407,91.9,68.5,113.3,235.7,230.1,245,0.85,0.75,0.94,2.26,115.1,98.2,128.5,131.6,119,142.2
Hydra_Cluster,0.0126,159.1782,-27.5269,5.4,-17.1,14.6,172.8,168.1,176.4,0.4,0.32,0.45,6.09,72,68.9,75,93.5,90,97
ABELL_1068,0.138,160.1855,39.9534,7.6,6.8,8.6,114.2,110.2,117.2,1.2,1.17,1.25,1.47,14.3,13.8,14.9,23,22.2,23.7
NGC_3402_GROUP,0.015,162.6086,-12.8450,1.6,1.4,1.8,101.9,97.7,105.6,0.92,0.89,0.95,3.61,13.6,13.4,13.9,24.3,24,24.7
MCXC_J1053.7+5452,0.07,163.3842,54.8754,-8.5,-29.8,8.9,118.7,111,124.9,0.72,0.62,0.84,0.63,15.4,5.4,25.7,31.2,23.9,38.5
BLOX_J1056.9-0337.3,0.823,164.2327,-3.6272,157.6,29.8,178.9,206,192.4,241.5,1.85,0.53,2.01,0.13,131.3,77.1,181.5,142.8,102.3,184
MACS_J1108.9+0906,0.449,167.2304,9.0989,-210.9,-251.6,-116.6,169.4,149.2,174.7,0.44,0.4,0.6,0.18,-66,-79.9,-50.9,-21.5,-27.2,-15.4
NGC_3551,0.032,167.4352,21.7591,-53.6,-190.5,-26.5,166.1,154.9,170.4,0.33,0.15,0.43,0.33,50.3,45.4,55.6,76.5,70.5,83.5
1RXS_J111039.6+284316,0.022,167.6690,28.7138,75.9,70.3,85.6,552.9,498.5,1698.3,4.42,4.86,8.38,0.41,77.9,70.3,85.6,78.1,70.6,85.6
ABELL_1190,0.075,167.9159,40.8402,255,160.2,440.9,275.8,280,327.1,1.89,-0.29,1.33,0.15,232.8,176.9,290.8,253.8,206.1,298.6
ABELL_1201,0.169,168.2278,13.4339,9.8,-47.8,42.1,216.9,202.8,226.6,0.66,0.46,0.89,0.37,55.3,44.6,65.7,81.7,75.3,88.4
ABELL_1204,0.171,168.3351,17.5944,13.1,10.9,15,95.1,91.5,99.6,1.3,1.23,1.35,0.8,17.2,15.6,18.7,23.3,22.1,24.5
SDSS_J1115+5319_CLUSTER,0.466,168.8116,53.3333,206.2,265.7,406.3,275.7,306.2,429.5,1.28,1.32,2.17,0.15,343.3,267.1,406.4,345.3,270.7,407.5
MACS_J1115.8+0129,0.352,168.9661,1.4990,22.9,19.2,26.4,128.6,122.4,137.1,1.54,1.39,1.66,0.2,26.1,23.4,28.9,32.2,29.8,34.7
HCG_051,0.026,170.6098,24.2986,-6.6,-8.3,-3,125.4,122.3,142.1,0.57,0.54,0.67,0.26,28.7,26.9,30.5,46.4,44.1,48.8
MCXC_J1130.0+3637,0.06,172.5131,36.6370,5.4,-16,9.7,123.6,112.8,130.6,0.65,0.42,0.73,0.97,32.1,30.2,33.9,47.7,45.1,50.4
ABELL_1285,0.106,172.5932,-14.5807,249.7,212.7,268.8,288.8,278.3,307.4,1.44,1.1,1.62,1.19,245.5,218.1,270.2,249.3,224.1,271.8
ABELL_1300,0.307,172.9775,-19.9291,74.7,23.4,103.6,275.5,256.4,305,0.93,0.8,1.02,0.4,92.2,61.3,123.1,116,90.6,141.2
WHL_J114224.8+583205,0.311,175.5980,58.5203,567.9,567.8,568.5,567.9,567.9,568.6,4.6,4.6,4.61,0.27,568.1,567.8,568.5,568.1,567.8,568.5
ABELL_1361,0.1171,175.9151,46.3557,15.9,10.9,19.9,161.2,151.5,170.8,1.39,1.24,1.5,0.22,21.9,18.8,24.8,31.9,29.3,34.3
SDSS-C4-DR3_3018,0.051,176.8046,55.7291,105.4,96,150.3,192.7,175.1,202.1,1.03,0.84,2,0.45,130.1,107.6,152.4,135.7,115.6,155.7
MACS_J1149.6+2223,0.5444,177.3994,22.3986,340,329.2,361.6,343.2,342.5,370.1,2.56,1.7,2.55,0.6,347.7,329.5,361.6,348.1,329.9,361.6
ABELL_1413,0.143,178.8247,23.4057,57,50.5,64.7,189.5,182.1,194.3,1.04,0.99,1.12,1.5,69.7,64.3,74.7,82.1,78.1,86.2
ABELL_1423,0.213,179.3218,33.6110,35.7,24.7,48.5,185.8,172.9,193.3,0.99,0.9,1.17,0.51,51.8,44.6,58.7,66.1,60.9,71.9
SDSS-C4-DR3_3144,0.081,179.9675,55.5348,3,1.4,4.3,390.7,316.5,497.8,1.43,1.27,1.62,0.6,17.3,15.8,19,41.5,38.6,44.4
ABELL_1446,0.103,180.5176,58.0332,172,129.5,190.7,217.9,209,235.2,1.9,0.83,2.71,0.26,168.1,143.8,192,172.9,152.4,192.9
MKW_04,0.02,181.1134,1.8952,2.9,2.3,3.6,171.1,162.3,180.3,0.86,0.82,0.89,3.11,26.4,25.8,27,45.3,44.3,46.3
MACS_J1206.2-0847,0.44,181.5504,-8.8005,66.9,48.4,82.5,184,169.2,197.2,1.21,1.07,1.35,0.14,73.6,59.8,87.6,83.5,71.7,95.9
NGC_4104_GROUP,0.028,181.6621,28.1742,0.6,0.3,1.1,1268.3,1095.1,1498.6,1.44,1.39,1.51,0.34,45.9,42.7,49,124.2,112.8,133.7
MCXC_J1215.4-3900,0.119,183.8530,-39.0355,347.6,244,423.9,371.9,352.3,463.6,1.69,0.53,1.42,0.29,349.3,264.9,431.2,357.7,277,433.7
NSC_J121733+033929,0.077,184.4215,3.6555,175.3,136.6,194.3,263.7,251.1,279.1,1.25,1.01,1.39,1.56,173.5,148.7,197.7,182,160,203.5
NGC_4325_GROUP,0.025,185.7776,10.6213,3.9,3.7,4.4,92.4,87.9,97.4,1.35,1.3,1.42,1.18,7.9,7.7,8.1,13.9,13.6,14.3
NSCS_J122648+215157,0.37,186.7123,21.8323,33.2,7.6,59.7,184.3,175,195.4,0.68,0.58,0.79,0.98,67.4,52.7,80.4,86.2,75.9,96.5
WARP_J1226.9+3332,0.89,186.7423,33.5463,73.9,32.5,105.8,214.7,197.9,241.9,1.27,1.02,1.48,0.03,79.9,48.6,110.3,92.4,65.3,118.4
MESSIER_049,0.0033,187.4452,8.0006,0.4,0.4,0.5,317.9,314.3,323.9,0.99,0.98,0.99,141.86,33.2,33,33.4,65.4,64.8,65.9
ABELL_1553,0.165,187.6970,10.5540,217.3,164.5,241,252.5,219,274.4,1.68,1.35,1.82,0.55,203.3,167.5,241.9,206.1,170.5,243.9
MCXC_J1234.2+0947,0.229,188.6008,9.7876,255.3,-84.9,219.2,295.9,246.3,331.6,1.19,0.31,0.83,0.16,156.5,68.1,234.6,182.8,108.8,246.1
MESSIER_089,0.0011,188.9157,12.5567,1.3,1.3,1.3,1976.8,1391.2,1938.5,1.36,1.29,1.36,3.28,79.4,71.9,86.3,197.7,175.6,219.3
ABELL_1569,0.073,189.1027,16.5398,102,-104.2,109.6,177.5,170.7,193.5,0.65,0.15,0.82,0.33,110.7,88,133.2,126.2,109.1,146
ABELL_1576,0.279,189.2436,63.1868,71,38.3,110.6,240.9,222.8,254.8,0.79,0.69,0.96,1.12,101.1,78.5,124.8,120.7,102.5,139
NGC_4636,0.0031,190.7077,2.6877,0.6,0.5,0.8,208.2,187.7,244.9,0.97,0.94,1.03,7.88,22.9,22.1,23.7,44.8,42,47.4
Centaurus_Cluster,0.0114,192.2053,-41.3110,1.7,1.6,1.7,440,432.9,451,1.39,1.38,1.4,149.46,19.6,19.5,19.7,48.6,48.4,48.9
NGC_4759_GROUP,0.0147,193.2739,-9.2043,2.3,2.3,2.5,152.7,149.3,169.7,1.1,1.09,1.15,10.46,14.3,14.2,14.4,28.2,27.7,28.7
ABELL_3528B,0.053,193.5924,-29.0130,11.8,8.1,15.8,225.4,216.1,235.2,1.04,0.99,1.11,1.06,31.4,29.3,33.5,51.9,49,54.6
NGC_4782-3,0.0154,193.6504,-12.5607,3.5,2.7,4.6,335.3,299.6,433.4,1.27,1.21,1.43,1.41,20.9,19.8,22,46.7,44.6,48.9
ABELL_1644,0.047,194.3015,-17.4092,5.2,-3.7,9.6,225.5,218.3,231.4,0.84,0.75,0.89,2.42,36.7,34.6,38.7,62.2,59.7,64.9
ABELL_3532,0.055,194.3418,-30.3634,88.6,40.5,131.4,270.7,243.5,289.3,0.91,0.59,1.44,0.09,115.8,90.3,140.6,133.6,114.2,153.1
NGC_4839,0.0246,194.3517,27.4977,-0.7,-17.6,4.4,1020,447,1638.8,1.25,0.77,1.55,0.05,55.7,47.1,64.2,132.3,111.4,152.1
ABELL_1651,0.085,194.8427,-4.1966,103.3,88.3,114.7,190.6,184.4,198.9,1.26,1.13,1.35,1.31,106.3,95,118.3,113.6,103.6,123.9
WHL_J125933.4+600409,0.33,194.8877,60.0706,402.1,373.8,399.5,407.3,381,418.4,2.34,1.37,2.44,0.65,388.1,373.9,399.6,388.9,374.1,399.9
ABELL_1664,0.128,195.9271,-24.2452,11.7,10.2,12.8,105.9,102.9,109.6,1.33,1.26,1.38,3.74,16.1,15.3,16.9,22.8,22.1,23.6
ABELL_1668,0.063,195.9442,19.2703,13.4,11.8,15.6,155.8,149.6,162.1,1.22,1.15,1.3,0.59,22.1,21,23.2,33.4,31.9,34.9
NGC4936-offset2,0.0103,196.0715,-30.5261,-4.6,-7.8,0.2,77.9,70.6,93.1,0.5,0.43,0.67,0.36,20.5,18.2,22.9,31.3,28.4,34.2
MACS_J1311.0-0311,0.494,197.7569,-3.1773,34.3,29,40,115.3,106.9,120.9,1.36,1.26,1.5,0.2,38,33.6,42.8,43.4,39.4,47.6
ABELL_1689,0.183,197.8730,-1.3412,55.3,48.5,62.1,192.6,188.2,198.9,1.07,1.03,1.12,2.24,67.6,62,72.4,80.6,76.5,84.6
WHL_J131505.2+514902,0.291,198.7682,51.8201,169.2,111.4,202.2,259.9,249.8,283.9,1.23,0.95,1.36,0.23,165.8,129.7,205.3,176,143.7,211
NGC_5044,0.009,198.8497,-16.3854,2,1.9,2.4,61.3,58.6,68.4,0.85,0.82,0.92,16.56,10.4,10.3,10.5,17.2,17,17.5
NGC_5098_GROUP,0.037,200.0610,33.1431,3.1,2.6,3.7,119.2,113.3,126.8,1.03,0.99,1.09,3.45,13.9,13.4,14.3,25.2,24.4,26
NGC_5129,0.023,201.0416,13.9755,-0.1,-0.7,0.7,112.6,107,121.2,0.77,0.73,0.83,0.72,18.9,18.1,19.6,32.4,31.4,33.4
ABELL_1736,0.046,201.7204,-27.1710,-180,-81.4,140.1,212.3,197.5,217.1,0.13,0.18,0.56,2.25,130.5,99.3,162.5,147.7,123.7,172.2
ABELL_3558,0.048,201.9869,-31.4955,-36.6,-200.2,7.3,221.5,207.2,239,0.35,0.15,0.58,0.94,78,68.1,87.6,109.4,98.2,120.7
NGC_5171,0.0229,202.3540,11.7626,36.6,32.8,39.9,1756.2,656.9,1716.4,9.08,6.8,9.3,0.5,36.1,32.8,39.9,36.1,32.8,39.9
SSGC_081,0.05,202.4490,-31.6069,21.2,-19.9,42.8,224.4,214.2,232.8,0.55,0.41,0.64,1.54,80,72,87.9,107,99.9,114.4
a1750ss,0.091,202.5397,-2.0986,-27.7,-128,-22.3,38.1,35.3,46.5,0.7,0.26,0.78,0.08,-20.2,-31.3,-10.6,-8.2,-13.5,-2.7
ABELL_1750C,0.068,202.7107,-1.8618,159.4,112.8,179.7,251.2,240.4,267.6,1.17,0.82,1.35,0.25,158.6,133.6,183.9,169.6,149.4,190.4
ABELL_1750N,0.084,202.7956,-1.7282,28.6,-8.8,60.6,209.6,194.2,220,0.71,0.57,0.89,0.78,66.2,48.3,82.8,88.3,75.8,100.6
SC_1329-313,0.048,202.8808,-31.8245,-35.5,-76.5,3.7,285.3,255,350.8,1.14,0.82,1.73,0.08,-10.6,-32.4,11,15.6,2,30.2
ABELL_3560,0.0489,203.1071,-33.1360,-249.3,-227.4,-26.4,232.3,222.8,246.2,0.17,0.19,0.41,0.39,74.6,62.5,87.3,111.8,102,121.3
ABELL_1758,0.279,203.2017,50.5424,97.7,38.5,167,321,304.4,338.1,0.7,0.59,0.9,0.93,147.1,110.4,186.7,173.9,143.9,204.8
ABELL_3562,0.049,203.4055,-31.6716,75,53.7,90.7,219.9,211.9,230.8,0.94,0.79,1.07,1.57,91.4,80.1,102.1,107.5,99,116.1
ABELL_1763,0.223,203.8333,41.0005,182.3,133.7,188.3,218.1,189,225.6,1.88,1.43,2.08,0.64,160.9,136.4,189.2,163.6,139.6,190.5
ABELL_1767,0.07,204.0343,59.2055,288.6,246,295.5,310.4,294.5,321.6,2.02,1.33,2.15,0.38,272.1,247.2,296,274.4,252.3,297
ABELL_1775,0.072,205.4517,26.3709,55.5,50.8,65,257.7,220.5,290,2.01,1.74,2.56,0.25,59.5,53.9,66,64.8,60.2,69.2
ABELL_3571,0.0391,206.8685,-32.8646,30.3,-1.9,63.6,246.9,240.1,251.7,0.47,0.37,0.6,3.53,105.8,99.6,112.7,133.2,127.7,138.8
LCDCS_0829,0.451,206.8776,-11.7524,8.3,3.3,11.1,175.8,170.9,182,1.12,1.05,1.17,0.76,20.6,18.6,22.4,35.9,34.4,37.3
ABELL_1795,0.0625,207.2200,26.5899,14.7,13.6,16.1,138.4,136.3,139.5,1.13,1.11,1.17,5.26,23.9,23.3,24.6,34.7,34.2,35.2
NSCS_J135021+094042,0.09,207.5913,9.6698,7.2,6,8.4,146.5,140.6,150.3,1.15,1.11,1.2,0.95,16.9,16.4,17.5,28.8,27.7,29.8
MACS_J1359.2-1929,0.447,209.7926,-19.4903,19.3,13.3,24.3,111.9,101.4,121.4,1.35,1.18,1.49,0.09,23.5,19.8,27.6,30.2,27.1,33.5
ABELL_1831,0.061,209.8156,27.9753,78.7,58.1,97.8,187.2,177.8,198.8,1.18,0.99,1.38,0.53,86,71.3,101.9,95.8,83.8,108
WHL_J135949.5+623047,0.322,209.9609,62.5180,8.1,-3.2,14.8,197.8,188.4,209.6,0.9,0.82,0.96,1,31.2,27.2,35.5,52.4,48.8,56.4
ABELL_1835,0.253,210.2581,2.8789,12.2,10,13.5,116.6,113.6,122.3,1.34,1.28,1.38,2.21,16.7,15.5,17.9,24.2,23.2,25.3
NGC5419-offset2,0.0138,210.9117,-33.9781,-3.6,-3.9,-1,400.8,394.2,462.6,0.81,0.81,0.92,0.29,56.8,52.6,61,105.2,99.3,111.3
NGC5419-offset1,0.0138,210.9119,-33.9783,-5.7,-8,-2.1,343,302,417.8,0.72,0.66,0.85,0.2,59.1,54.8,63.5,103.2,95.4,110.9
ABELL_3581,0.023,211.8741,-27.0183,6,5.7,6.4,120.9,118.3,124.1,1.05,1.03,1.08,5.61,16.1,15.9,16.3,27,26.7,27.3
A1882a,0.141,213.7785,-0.4920,-31.1,-48.5,-14.4,282,255.9,300,1.22,1.03,1.47,0.19,-11.3,-18.8,-3.6,13.3,9.8,17.2
WARP_J1415.1+3612,1.03,213.7954,36.2022,-51.8,-146.7,34.4,155.5,137.7,160.5,0.35,0.22,0.71,0.03,46.1,33.6,59.1,67.6,59.4,75.8
WHL_J141623.8+444528,0.386,214.1161,44.7792,11.6,-28.9,30.8,120.7,106.2,133,0.89,0.61,1.14,0.01,22.8,7.4,38.6,36.5,26.9,46.2
GMBCG_J215.94948+24.07846,0.543,215.9495,24.0785,3.3,-1.5,8.3,131.6,124.4,138.4,1.06,0.97,1.16,0.27,14.8,12.8,16.7,26.9,25.7,28.1
ABELL_1914,0.171,216.5132,37.8238,97.2,65,114.1,228,216.4,240.7,0.87,0.74,0.96,1.22,110.5,92.7,126.5,126.4,112.5,139.5
WHL_J142716.1+440730,0.498,216.8172,44.1252,7.3,3.7,10.6,131.3,123,138.4,1.21,1.15,1.29,1.16,14.9,12.4,17.2,24.9,23,26.7
MACS_J1427.6-2521,0.318,216.9144,-25.3508,9.3,2.5,13.7,156.9,148.6,165.9,1.19,1.02,1.31,0.03,18.8,16.4,21.1,31.5,29,33.9
ABELL_1930,0.131,218.1582,31.6471,5.2,3,8,176.5,170.7,180.8,0.92,0.89,0.96,1.16,25.9,24.5,27.3,44,42,46
ABELL_1942_AND_CLUMP,0.224,219.5915,3.6702,-160.8,-181.8,84.4,295.5,277.5,310.2,0.22,0.2,0.43,0.77,140.7,109.9,174.9,176,151.2,203.1
WBL_518,0.027,220.1649,3.4710,158.9,162.1,194.2,316,335.5,1482.8,1.14,3.48,8.38,0.28,178.9,162.4,194.3,179.8,163.6,195.1
ABELL_1991,0.059,223.6314,18.6445,0.9,0.6,1.3,130.7,125.8,134.6,1.05,1.02,1.07,1.86,12.6,12.2,12.9,24.9,24.4,25.5
NSCS_J145715+222009,0.258,224.3129,22.3425,14.8,13.2,16.4,94.8,92.1,98,1.24,1.19,1.29,1.37,19.4,18.3,20.6,25.7,24.8,26.6
ABELL_S0780,0.236,224.8706,-18.1793,16,13.9,18.1,112.3,107.3,114.9,1.26,1.2,1.31,1.5,21.4,19.9,22.9,28.8,27.7,29.9
ABELL_2009,0.153,225.0816,21.3699,16,12.4,18.9,169.8,164.8,174.9,1.06,1.02,1.1,0.95,29.2,27.3,31.3,43.8,42,45.5
WHL_J150407.5-024816,0.215,226.0311,-2.8045,8.9,8.3,9.6,90.4,88.7,93.1,1.31,1.28,1.32,4.1,13,12.5,13.5,19,18.5,19.5
NGC_5846,0.0057,226.6217,1.6060,1.6,1.7,2.3,217.4,227.6,402.9,1.11,1.13,1.36,2.22,19.1,18.2,20,42.6,38.1,47.4
ABELL_2029,0.0722,227.7337,5.7448,7.2,6.2,7.9,181.1,179.9,183.3,0.88,0.87,0.9,6.76,30.1,29.5,30.5,49.4,48.6,50.1
MCXC_J1514.9-1523,0.223,228.7621,-15.3895,996.8,995.6,996.6,423.3,406.9,442.7,-0.42,-0.45,-0.4,6.01,-509.5,-546.7,-475.8,-127.9,-137,-119.1
ABELL_2052,0.0355,229.1813,7.0222,-4,-4.5,-2.1,160.6,159.9,164.2,0.99,0.98,1.02,5.1,13.2,12.8,13.6,29.7,29.6,29.9
ABELL_2061,0.078,230.2929,30.6115,187.4,136,219.2,259.3,240.6,270.2,1.11,0.87,1.35,1.81,180.4,149.1,220.5,188.7,161.2,224.5
MKW_03s,0.045,230.4660,7.7081,21.6,18.3,24.1,136.3,133.7,138.5,0.97,0.9,1.01,2.57,34,32.7,35.4,45.9,44.8,47
ABELL_2063,0.0349,230.7717,8.6095,44.4,38,54.8,223.8,217.6,229.5,1.02,0.94,1.18,2.83,62.6,58.3,66.9,79.5,76.6,82.4
ABELL_2069,0.116,231.0356,29.8818,289.8,185,306.3,358.1,328.1,371.8,1.15,0.76,1.21,2.33,258.1,213.6,309.4,269.9,232.7,314.9
MCXC_J1524.2-3154,0.103,231.0535,-31.9064,8.1,7.4,8.9,141.7,134.7,145.8,1.56,1.49,1.61,0.82,11.9,11.4,12.3,19.1,18.4,19.7
MACS_J1532.8+3021,0.345,233.2242,30.3497,15.5,14.5,16.8,101.5,97.9,104.2,1.54,1.47,1.61,0.25,18.1,17.2,19,22.8,22.2,23.5
ABELL_2092,0.067,233.3068,31.1502,-6.8,117.4,723.4,209,180.9,239.5,0.44,-0.38,3.99,0.08,50,-85.8,199.8,115.7,23.3,200.1
ABELL_2107,0.041,234.9126,21.7827,-7.6,-14.2,-1.9,215.9,209.9,221.2,0.55,0.51,0.59,5.08,55.1,52.7,57.4,84.3,80.6,87.7
ABELL_2111,0.229,234.9244,34.4162,203,162.9,235.9,294.8,279.7,323.3,1.21,1.01,1.36,0.84,208.3,174,240,217.1,186.9,245.1
ABELL_2104,0.153,235.0340,-3.3038,200,149.4,227.9,280.2,263.1,296.8,1.16,0.87,1.53,1.99,199.6,166.1,230.2,208.4,181.5,235.2
ABELL_2125,0.246,235.3106,66.2659,179.8,149.9,199.5,198.7,183.1,216.8,1.79,1.18,2.03,0.24,170.9,152,200.1,172.9,155.5,201.1
ABELL_2124,0.066,236.2458,36.1091,93.7,20.3,118.2,285.6,272.8,305.5,0.85,0.53,0.99,0.79,117.9,99.2,136.7,143.4,131,155.9
ABELL_2146,0.2343,239.0512,66.3516,72,65.2,81.1,159.9,155,165.1,1.35,1.28,1.45,1.94,76.9,70.1,84,82.9,77,88.9
