Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
ABELL_S0579,0.152,94.1339,-39.7968,1013,4.91,0.39,0.32,0.12,Ap,1106,1022,1.1,2.01E-12,7.90E-14,1.32E+00,5.20E-02,1.86E+00,8.50E-02,0.45,0.04
ABELL_S0592,0.222,99.702,-53.9742,1336,8.63,0.7,0.3,0.09,Ap,1348,1022,1.3,4.90E-12,1.20E-13,6.97E+00,1.80E-01,1.16E+01,5.70E-01,0.59,0.02
ABELL_S0780,0.236,224.8706,-18.1793,1231,7.15,0.59,0.33,0.13,Wtd,1040,1022,1,2.80E-12,4.40E-14,4.70E+00,7.40E-02,7.31E+00,2.80E-01,0.65,0.02
ABELL_S1063,0.347,342.1835,-44.5304,1459,11,0.77,0.33,0.07,Ap,1234,1022,1.2,5.34E-12,1.00E-13,1.95E+01,3.80E-01,3.57E+01,1.80E+00,0.58,0.02
ABELL_S1101,0.058,348.4946,-42.7253,785,2.7,0.29,0.19,0.09,Wtd,1946,1022,1.9,5.33E-12,1.10E-13,4.35E-01,9.20E-03,5.85E-01,1.60E-02,0.78,0.02
Abell_222,0.211,24.3946,-12.9931,911,4.01,0.29,0.29,0.08,Ap,1068,1022,1,1.06E-12,4.70E-14,1.39E+00,6.20E-02,1.90E+00,9.10E-02,0.35,0.03
Abell_223,0.207,24.4835,-12.8198,1038,5.7,0.67,0.31,0.12,Ap,1099,1022,1.1,9.15E-13,4.70E-14,1.11E+00,5.70E-02,1.62E+00,1.10E-01,0.49,0.04
Abell_2276,0.141,263.7693,64.1017,793,2.96,0.31,0.24,0.12,Ap,1203,1022,1.2,7.61E-13,7.20E-14,4.19E-01,3.90E-02,5.60E-01,5.40E-02,0.57,0.07
BLOX_J1023.6+0411.1,0.291,155.9154,4.1863,1315,7.8,0.8,0.26,0.08,Wtd,2568,2047,1.3,2.79E-12,4.60E-14,7.08E+00,1.20E-01,1.14E+01,5.80E-01,0.76,0.02
BLOX_J1056.9-0337.3,0.823,164.2327,-3.6272,901,7.76,1.25,0.09,0.11,Ap,1384,1022,1.4,2.00E-13,1.20E-14,6.03E+00,3.50E-01,9.66E+00,9.20E-01,0.32,0.03
Bullet_Cluster,0.296,104.6276,-55.9388,1568,12.31,1.21,0.21,0.07,Wtd,5213,4097,1.3,8.37E-12,4.90E-14,2.20E+01,1.30E-01,4.24E+01,3.10E+00,0.36,0
CIZA_J0107.7+5408,0.107,16.9381,54.1327,1413,6.64,1.39,0.18,0.14,Wtd,1263,1022,1.2,1.17E-11,2.00E-13,4.00E+00,6.90E-02,6.09E+00,5.20E-01,0.42,0.02
CIZA_J0616.3-2156,0.171,94.1033,-21.9383,1244,7.24,0.59,0.27,0.1,Ap,1197,1022,1.2,3.24E-12,7.70E-14,2.75E+00,6.50E-02,4.30E+00,1.80E-01,0.34,0.02
CIZA_J1804.4+1002,0.152,271.131,10.0571,1216,6.81,0.58,0.13,0.08,Ap,1200,1022,1.2,7.22E-12,2.20E-13,4.75E+00,1.50E-01,7.30E+00,3.40E-01,0.5,0.03
CIZA_J1938.3+5409,0.26,294.5768,54.1597,1181,7.02,0.71,0.36,0.1,Ap,1101,1022,1.1,3.72E-12,1.60E-13,8.04E+00,3.40E-01,1.24E+01,7.50E-01,0.57,0.04
CIZA_J2242.8+5301,0.192,340.6647,52.9958,1332,7.94,1.26,0.19,0.13,Wtd,2150,2047,1.1,3.31E-12,5.10E-14,4.16E+00,6.40E-02,6.72E+00,5.20E-01,0.25,0.01
ClG_2153.8+3746,0.292,328.9675,38.0068,1337,8.65,1.11,0.24,0.11,Wtd,2257,2047,1.1,3.70E-12,5.40E-14,1.09E+01,1.60E-01,1.81E+01,1.20E+00,0.41,0.01
Cl_0016+16,0.541,4.6402,16.4359,1237,10.09,0.85,0.17,0.07,Ap,1039,1022,1,1.36E-12,3.10E-14,1.43E+01,3.20E-01,2.53E+01,1.40E+00,0.39,0.02
ESO3060170-A,0.036,85.0278,-40.8366,805,2.53,0.42,0.3,0.18,Wtd,4850,2047,2.4,5.05E-12,2.20E-13,1.55E-01,6.90E-03,2.07E-01,1.10E-02,0.59,0.04
G139.59+24.18,0.27,95.4541,74.7014,1213,7.33,0.73,0.3,0.09,Ap,1163,1022,1.1,3.15E-12,1.20E-13,7.16E+00,2.70E-01,1.12E+01,6.50E-01,0.57,0.03
GALEX_J094712.4+762313,0.354,146.8028,76.3871,1238,8.49,0.63,0.38,0.08,Ap,2172,2047,1.1,1.61E-12,4.00E-14,6.33E+00,1.60E-01,1.05E+01,4.70E-01,0.81,0.02
GMBCG_J029.95560-08.83299,0.322,29.956,-8.8336,1339,9.24,0.71,0,0.02,Ap,3936,3072,1.3,1.38E-12,3.60E-14,4.33E+00,1.10E-01,7.41E+00,3.70E-01,0.71,0.02
GMBCG_J215.94948+24.07846,0.543,215.9495,24.0785,1028,6.89,0.36,0.33,0.03,Wtd,1055,1022,1,4.69E-13,1.30E-14,5.19E+00,1.50E-01,7.99E+00,2.80E-01,0.74,0.03
Hercules_A,0.155,252.7842,4.9925,893,4.12,1.1,0.21,0.1,Wtd,2250,2047,1.1,2.34E-12,4.20E-14,1.62E+00,2.90E-02,2.23E+00,1.50E-01,0.58,0.02
IC_1365,0.049,318.4822,2.5652,988,4.02,0.28,0.47,0.11,Ap,2343,1022,2.3,8.62E-12,4.10E-13,5.23E-01,2.50E-02,7.10E-01,3.60E-02,0.42,0.03
LCDCS_0829,0.451,206.8776,-11.7524,1600,13.23,2.43,0.24,0.05,Wtd,4682,4097,1.1,2.64E-12,3.50E-14,1.76E+01,2.40E-01,3.51E+01,5.10E+00,0.77,0.01
MACS_J0011.7-1523,0.378,2.9286,-15.3892,1011,5.81,0.41,0.26,0.07,Ap,2261,2047,1.1,1.07E-12,3.80E-14,5.12E+00,1.80E-01,7.50E+00,3.20E-01,0.58,0.03
MACS_J0025.4-1222,0.584,6.3737,-12.3761,1029,7.95,0.59,0.24,0.07,Ap,4511,4097,1.1,5.85E-13,2.30E-14,7.53E+00,3.00E-01,1.22E+01,6.50E-01,0.31,0.03
MACS_J0242.6-2132,0.314,40.6495,-21.5406,998,5.09,0.67,0,0.06,Ap,1118,1022,1.1,1.30E-12,8.70E-14,4.17E+00,2.80E-01,5.97E+00,4.70E-01,0.78,0.07
MACS_J0308.9+2645,0.324,47.2331,26.7611,1342,9.5,1.11,0.18,0.1,Ap,1258,1022,1.2,2.83E-12,8.70E-14,9.81E+00,3.00E-01,1.69E+01,1.20E+00,0.52,0.03
MACS_J0329.6-0211,0.45,52.4237,-2.1966,1090,7.31,0.47,0.35,0.07,Ap,3437,3072,1.1,8.76E-13,2.20E-14,6.36E+00,1.60E-01,9.97E+00,3.80E-01,0.66,0.02
MACS_J0358.8-2955,0.425,59.7263,-29.9259,1196,8.53,0.5,0.17,0.06,Ap,3435,3072,1.1,1.87E-12,5.30E-14,1.11E+01,3.10E-01,1.83E+01,7.50E-01,0.51,0.02
MACS_J0416.1-2403,0.42,64.0394,-24.0655,1220,8.77,0.81,0.22,0.08,Ap,2260,2047,1.1,1.36E-12,5.40E-14,7.95E+00,3.10E-01,1.33E+01,8.30E-01,0.34,0.03
MACS_J0417.5-1154,0.44,64.3926,-11.9096,1392,10.87,0.98,0.18,0.06,Wtd,3442,3072,1.1,2.88E-12,5.70E-14,1.84E+01,3.70E-01,3.37E+01,2.10E+00,0.52,0.02
MACS_J0429.6-0253,0.399,67.4,-2.8854,1090,6.92,0.81,0.34,0.15,Ap,1159,1022,1.1,8.39E-13,3.80E-14,4.64E+00,2.10E-01,7.15E+00,4.80E-01,0.71,0.05
MACS_J0553.4-3342,0.407,88.3574,-33.7085,1443,10.89,0.75,0.19,0.06,Ap,1137,1022,1.1,2.25E-12,3.90E-14,1.19E+01,2.10E-01,2.17E+01,1.00E+00,0.42,0.01
MACS_J0712.3+5931,0.328,108.0864,59.5389,989,4.81,0.66,0.3,0.14,Ap,1191,1022,1.2,5.81E-13,4.50E-14,2.15E+00,1.70E-01,3.01E+00,2.60E-01,0.57,0.06
MACS_J0717+3745,0.546,109.3756,37.76,1432,12.46,1.53,0.19,0.05,Wtd,3386,3072,1.1,2.13E-12,3.10E-14,2.27E+01,3.30E-01,4.40E+01,4.10E+00,0.3,0.01
MACS_J0744.9+3927,0.698,116.2201,39.4573,1025,8.25,0.76,0.19,0.08,Ap,3334,3072,1.1,5.73E-13,2.70E-14,1.12E+01,5.30E-01,1.84E+01,1.20E+00,0.58,0.04
MACS_J1108.9+0906,0.449,167.2304,9.0989,1025,6.72,0.66,0.23,0.11,Ap,2276,2047,1.1,6.79E-13,2.80E-14,4.82E+00,2.00E-01,7.36E+00,4.20E-01,0.43,0.04
MACS_J1115.8+0129,0.352,168.9661,1.499,1349,9.84,0.99,0.13,0.08,Ap,2539,2047,1.2,1.70E-12,5.00E-14,6.64E+00,2.00E-01,1.16E+01,7.70E-01,0.7,0.03
MACS_J1149.6+2223,0.5444,177.3994,22.3986,1112,8.99,0.9,0.21,0.09,Ap,2206,2047,1.1,1.17E-12,4.80E-14,1.24E+01,5.10E-01,2.10E+01,1.40E+00,0.3,0.03
MACS_J1206.2-0847,0.44,181.5504,-8.8005,1337,10.51,1.2,0.29,0.11,Ap,1235,1022,1.2,2.31E-12,7.40E-14,1.49E+01,4.70E-01,2.67E+01,2.10E+00,0.53,0.03
MACS_J1311.0-0311,0.494,197.7569,-3.1773,958,5.89,0.5,0.25,0.08,Ap,3372,3072,1.1,4.04E-13,2.00E-14,3.65E+00,1.80E-01,5.36E+00,3.10E-01,0.69,0.05
MACS_J1359.2-1929,0.447,209.7926,-19.4903,1005,6.36,1.31,0.14,0.15,Ap,1101,1022,1.1,3.13E-13,2.70E-14,2.32E+00,2.00E-01,3.50E+00,4.10E-01,0.71,0.08
MACS_J1427.6-2521,0.318,216.9144,-25.3508,922,4.83,0.5,0.36,0.14,Ap,2402,2047,1.2,5.14E-13,3.20E-14,1.77E+00,1.10E-01,2.49E+00,1.70E-01,0.69,0.06
MACS_J1532.8+3021,0.345,233.2242,30.3497,1181,7.28,0.78,0.22,0.06,Wtd,1125,1022,1.1,1.43E-12,2.10E-14,5.37E+00,7.80E-02,8.42E+00,4.10E-01,0.79,0.02
MACS_J1621.3+3810,0.465,245.3537,38.1689,1072,7.66,0.73,0.19,0.07,Ap,4728,4097,1.2,5.49E-13,2.20E-14,4.06E+00,1.60E-01,6.47E+00,3.80E-01,0.65,0.04
MACS_J1720.2+3536,0.391,260.0701,35.6073,1197,8.35,0.79,0.31,0.09,Ap,2537,2047,1.2,1.14E-12,3.70E-14,5.73E+00,1.80E-01,9.42E+00,5.40E-01,0.63,0.03
MACS_J1829.0+6913,0.203,277.2735,69.2353,890,4.17,0.4,0.38,0.14,Ap,2472,2047,1.2,5.95E-13,3.80E-14,7.45E-01,4.80E-02,1.02E+00,7.00E-02,0.63,0.05
MACS_J1931.8-2635,0.352,292.9569,-26.5759,1203,7.68,0.83,0.34,0.14,Wtd,1280,1022,1.3,1.91E-12,2.70E-14,8.01E+00,1.10E-01,1.28E+01,6.60E-01,0.74,0.02
MACS_J2046.0-3430,0.423,311.5021,-34.5048,985,5.75,0.55,0.08,0.09,Ap,2307,2047,1.1,5.54E-13,3.10E-14,3.60E+00,2.00E-01,5.27E+00,3.40E-01,0.73,0.06
MACS_J2140.2-2339,0.313,325.0633,-23.6611,1076,5.65,0.84,0.28,0.14,Wtd,3302,3072,1.1,1.03E-12,3.30E-14,3.24E+00,1.00E-01,4.72E+00,2.80E-01,0.8,0.03
MACS_J2214-1359,0.483,333.739,-14.0038,1168,8.2,0.92,0.27,0.1,Ap,2243,2047,1.1,1.14E-12,4.90E-14,9.35E+00,4.00E-01,1.53E+01,1.10E+00,0.47,0.03
MACS_J2229.8-2756,0.324,337.4385,-27.9267,1029,6.09,0.65,0.43,0.12,Ap,2422,2047,1.2,1.02E-12,5.10E-14,3.34E+00,1.70E-01,4.94E+00,3.10E-01,0.75,0.05
MACS_J2245.0+2637,0.304,341.2692,26.6348,1102,6.26,0.87,0.33,0.15,Ap,1194,1022,1.2,1.32E-12,7.80E-14,3.93E+00,2.30E-01,5.87E+00,4.60E-01,0.68,0.06
MCXC_J0035.4-2015,0.364,8.8586,-20.2623,1140,7.4,0.8,0.35,0.1,Ap,1156,1022,1.1,2.11E-12,7.90E-14,8.92E+00,3.40E-01,1.40E+01,8.50E-01,0.5,0.03
MCXC_J0220.9-3829,0.229,35.2357,-38.4804,941,4.67,0.41,0.62,0.16,Ap,1244,1022,1.2,1.27E-12,7.40E-14,1.94E+00,1.10E-01,2.69E+00,1.70E-01,0.57,0.05
MCXC_J0301.6+0155,0.17,45.4092,1.9208,935,4.4,0.41,0.24,0.11,Ap,1210,1022,1.2,1.82E-12,1.00E-13,1.55E+00,8.80E-02,2.15E+00,1.30E-01,0.69,0.05
MCXC_J0303.7-7752,0.274,45.9413,-77.8792,1405,9.55,0.96,0.25,0.09,Ap,1133,1022,1.1,2.67E-12,8.60E-14,6.18E+00,2.00E-01,1.07E+01,7.10E-01,0.48,0.03
MCXC_J0331.1-2100,0.188,52.775,-21.0089,1143,6.1,0.6,0.13,0.1,Ap,2669,2047,1.3,2.19E-12,8.50E-14,2.15E+00,8.30E-02,3.19E+00,1.70E-01,0.72,0.04
MCXC_J0340.8-4542,0.07,55.2241,-45.6768,741,2.42,0.42,0.3,0.18,Wtd,1656,1022,1.6,1.28E-12,1.40E-13,1.54E-01,1.70E-02,2.06E-01,2.40E-02,0.25,0.06
MCXC_J0352.9+1941,0.109,58.2457,19.683,863,2.94,0.68,0.26,0.12,Wtd,1133,1022,1.1,2.65E-12,1.20E-13,9.69E-01,4.40E-02,1.29E+00,7.90E-02,0.72,0.04
MCXC_J0425.8-0833,0.04,66.4634,-8.5604,868,3.08,0.15,0.26,0.09,Wtd,2896,1022,2.8,8.48E-12,4.10E-13,3.33E-01,1.60E-02,4.46E-01,2.20E-02,0.66,0.04
MCXC_J0437.1+0043,0.285,69.2898,0.7322,1162,6.67,0.6,0.26,0.08,Ap,2464,2047,1.2,1.66E-12,5.90E-14,4.33E+00,1.50E-01,6.60E+00,3.30E-01,0.62,0.03
MCXC_J0439.0+0520,0.208,69.759,5.3454,972,5.02,0.52,0.17,0.1,Ap,2350,2047,1.1,1.30E-12,7.60E-14,1.77E+00,1.00E-01,2.51E+00,1.70E-01,0.73,0.05
MCXC_J0439.0+0715,0.23,69.7523,7.2684,1137,6.34,0.56,0.29,0.09,Ap,1130,1022,1.1,2.90E-12,1.00E-13,4.82E+00,1.70E-01,7.23E+00,3.50E-01,0.55,0.03
MCXC_J0454.1-0300,0.55,73.5471,-3.0159,1280,10.97,0.79,0.2,0.09,Ap,1407,1022,1.4,1.31E-12,2.50E-14,1.42E+01,2.70E-01,2.61E+01,1.30E+00,0.46,0.02
MCXC_J0510.7-0801,0.22,77.6985,-8.0275,1243,7.29,0.52,0.3,0.07,Ap,1099,1022,1.1,5.21E-12,1.50E-13,7.48E+00,2.20E-01,1.17E+01,5.00E-01,0.36,0.02
MCXC_J0528.2-2942,0.158,82.0607,-29.7219,971,4.63,0.33,0.73,0.16,Ap,1237,1022,1.2,2.06E-12,1.10E-13,1.39E+00,7.30E-02,1.92E+00,1.10E-01,0.41,0.04
MCXC_J0532.9-3701,0.275,83.2314,-37.0264,1357,9.28,1.1,0.09,0.1,Ap,1133,1022,1.1,2.63E-12,8.10E-14,5.79E+00,1.80E-01,9.92E+00,7.20E-01,0.56,0.03
MCXC_J0547.0-3904,0.21,86.7563,-39.074,986,5.04,0.76,0,0.09,Ap,1351,1022,1.3,6.10E-13,4.20E-14,7.94E-01,5.50E-02,1.13E+00,9.40E-02,0.73,0.06
MCXC_J0819.6+6336,0.119,124.858,63.6238,853,3.49,0.36,0.1,0.09,Ap,1263,1022,1.2,1.67E-12,1.10E-13,6.42E-01,4.00E-02,8.73E-01,5.80E-02,0.51,0.05
MCXC_J1000.5+4409,0.154,150.1307,44.1458,841,3.3,0.3,0.27,0.12,Ap,1275,1022,1.2,1.39E-12,1.10E-13,8.99E-01,6.80E-02,1.21E+00,9.40E-02,0.55,0.05
MCXC_J1010.5-1239,0.301,152.6355,-12.6633,1120,6.69,0.44,0.14,0.07,Ap,1103,1022,1.1,1.23E-12,2.80E-14,3.60E+00,8.30E-02,5.50E+00,1.90E-01,0.42,0.02
MCXC_J1053.7+5452,0.07,163.3842,54.8754,663,2,0.22,0.17,0.07,Ap,1137,1022,1.1,1.31E-12,2.10E-13,1.60E-01,2.50E-02,2.21E-01,3.50E-02,0.28,0.07
MCXC_J1130.0+3637,0.06,172.5131,36.637,658,1.64,0.35,0.07,0.05,Wtd,1181,1022,1.2,6.73E-13,6.50E-14,5.98E-02,5.80E-03,8.69E-02,8.60E-03,0.51,0.06
MCXC_J1215.4-3900,0.119,183.853,-39.0355,1116,5.53,0.4,0.35,0.12,Ap,1136,1022,1.1,3.69E-12,9.40E-14,1.40E+00,3.60E-02,2.03E+00,7.10E-02,0.28,0.03
MCXC_J1234.2+0947,0.229,188.6008,9.7876,977,4.3,0.49,0.17,0.12,Ap,1205,1022,1.2,9.75E-13,6.80E-14,1.52E+00,1.10E-01,2.10E+00,1.60E-01,0.22,0.02
MCXC_J1252.5-3116,0.053,193.1446,-31.2666,810,2.79,0.18,0.49,0.14,Ap,1344,1022,1.3,2.72E-12,2.20E-13,1.97E-01,1.60E-02,2.60E-01,2.10E-02,0.71,0.07
MCXC_J1514.9-1523,0.223,228.7621,-15.3895,1370,8.79,0.52,0.15,0.05,Ap,1059,1022,1,3.34E-12,5.70E-14,4.89E+00,8.30E-02,8.21E+00,2.90E-01,0.24,0.01
MCXC_J1524.2-3154,0.103,231.0535,-31.9064,992,4.11,0.41,0.35,0.1,Wtd,1297,1022,1.3,4.23E-12,5.60E-14,1.23E+00,1.60E-02,1.68E+00,4.70E-02,0.75,0.02
MCXC_J1558.3-1410,0.097,239.5913,-14.1658,1086,5,0.38,0.38,0.11,Wtd,1327,1022,1.3,7.23E-12,7.50E-14,1.88E+00,1.90E-02,2.66E+00,6.60E-02,0.67,0.01
MCXC_J1750.2+3504,0.171,267.5704,35.0828,979,4.65,0.4,0.06,0.08,Ap,1198,1022,1.2,1.79E-12,9.10E-14,1.47E+00,7.40E-02,2.06E+00,1.20E-01,0.68,0.05
MCXC_J1852.1+5711,0.109,283.0358,57.1949,964,4.02,0.35,0.22,0.1,Ap,1393,1022,1.4,1.24E-12,6.00E-14,3.98E-01,1.90E-02,5.44E-01,2.90E-02,0.61,0.05
MCXC_J1853.9+6822,0.093,283.5094,68.3827,901,4.43,0.25,0.16,0.08,Ap,1177,1022,1.2,4.09E-12,1.50E-13,9.18E-01,3.30E-02,1.28E+00,5.00E-02,0.45,0.03
MCXC_J1947.3-7623,0.217,296.8121,-76.3958,1291,7.67,0.83,0.33,0.1,Ap,1188,1022,1.2,3.41E-12,1.30E-13,4.70E+00,1.80E-01,7.49E+00,4.70E-01,0.57,0.03
MCXC_J2003.5-2323,0.317,300.8713,-23.3734,1323,9.26,0.94,0.17,0.08,Ap,1180,1022,1.2,2.09E-12,5.70E-14,6.73E+00,1.80E-01,1.15E+01,7.20E-01,0.24,0.01
MCXC_J2011.3-5725,0.279,302.8622,-57.4199,835,3.8,0.45,0.12,0.11,Ap,1120,1022,1.1,6.93E-13,5.30E-14,1.78E+00,1.40E-01,2.43E+00,2.00E-01,0.64,0.07
MCXC_J2218.6-3853,0.138,334.6644,-38.9009,1109,5.75,0.4,0.18,0.08,Ap,1272,1022,1.2,5.70E-12,1.70E-13,2.81E+00,8.60E-02,4.11E+00,1.60E-01,0.51,0.03
MCXC_J2311.5+0338,0.3,347.8885,3.6353,1312,9.47,1.09,0.3,0.11,Ap,2588,2047,1.3,2.33E-12,9.60E-14,6.36E+00,2.60E-01,1.10E+01,8.50E-01,0.5,0.04
MCXC_J2344.2-0422,0.079,356.0769,-4.3816,1009,4.41,0.2,0.45,0.08,Ap,1375,1022,1.3,8.27E-12,2.60E-13,1.28E+00,4.10E-02,1.76E+00,6.00E-02,0.35,0.02
MKW_03s,0.045,230.466,7.7081,910,3.37,0.42,0.25,0.11,Wtd,1982,1022,1.9,1.10E-11,1.20E-13,5.35E-01,6.00E-03,7.20E-01,2.00E-02,0.7,0.01
MaxBCG_J016.70077+01.05926,0.254,16.7062,1.0563,928,4.33,0.25,0.24,0.11,Wtd,1087,1022,1.1,8.86E-13,3.50E-14,1.78E+00,7.00E-02,2.46E+00,1.00E-01,0.77,0.04
NGC_3551,0.032,167.4352,21.7591,623,1.62,0.07,0.32,0.06,Ap,1231,1022,1.2,7.61E-13,5.90E-14,1.82E-02,1.40E-03,2.51E-02,1.90E-03,0.63,0.07
NGC_6269,0.035,254.4921,27.8543,681,1.83,0.35,0.1,0.11,Wtd,2979,1022,2.9,2.31E-12,1.50E-13,7.02E-02,4.60E-03,9.91E-02,6.90E-03,0.43,0.04
NSCS_J000619+105206,0.167,1.5845,10.8643,1055,5.16,0.41,0.39,0.1,Ap,1115,1022,1.1,2.06E-12,8.40E-14,1.63E+00,6.60E-02,2.32E+00,1.10E-01,0.53,0.03
NSCS_J011502+002441,0.045,18.7658,0.4041,804,2.48,0.38,0.31,0.13,Wtd,2866,1022,2.8,3.47E-12,1.30E-13,1.69E-01,6.20E-03,2.27E-01,9.80E-03,0.22,0.02
NSCS_J122648+215157,0.37,186.7123,21.8323,858,5.13,0.46,0.18,0.1,Ap,1076,1022,1.1,2.92E-13,1.20E-14,1.35E+00,5.60E-02,1.93E+00,9.60E-02,0.53,0.04
NSCS_J145715+222009,0.258,224.3129,22.3425,1012,5.04,0.43,0.29,0.1,Wtd,1093,1022,1.1,1.64E-12,3.70E-14,3.35E+00,7.50E-02,4.75E+00,1.60E-01,0.77,0.02
NSC_J084254+292723,0.194,130.7329,29.4576,1168,6.19,0.53,0.5,0.16,Ap,1079,1022,1.1,1.15E-12,4.20E-14,1.23E+00,4.40E-02,1.82E+00,8.80E-02,0.7,0.04
NSC_J092017+303027,0.258,140.1118,30.4927,1113,6.07,0.69,0.37,0.12,Ap,1125,1022,1.1,1.24E-12,5.90E-14,2.43E+00,1.20E-01,3.59E+00,2.30E-01,0.31,0.02
NSC_J121733+033929,0.077,184.4215,3.6555,1296,6.99,0.35,0.34,0.08,Ap,2500,1022,2.4,1.52E-11,3.20E-13,2.14E+00,4.60E-02,3.31E+00,9.90E-02,0.36,0.02
NSC_J174715+451155,0.157,266.8113,45.1968,973,5.01,0.51,0.24,0.11,Ap,1175,1022,1.1,1.89E-12,9.80E-14,1.26E+00,6.50E-02,1.79E+00,1.10E-01,0.21,0.03
PLCKESZ_G167.65+17.64,0.174,99.5162,47.7986,1144,5.88,0.51,0.21,0.08,Ap,1188,1022,1.2,4.83E-12,1.80E-13,4.37E+00,1.70E-01,6.42E+00,3.10E-01,0.43,0.03
PLCKESZ_G264.41+19.48,0.24,150.0067,-30.2772,1230,7.28,0.78,0.05,0.07,Ap,1160,1022,1.1,1.85E-12,7.30E-14,3.19E+00,1.30E-01,5.01E+00,3.10E-01,0.43,0.03
PLCKESZ_G286.58-31.25,0.21,82.8695,-75.1768,1191,6.77,0.63,0.35,0.1,Ap,1129,1022,1.1,2.55E-12,1.00E-13,3.37E+00,1.40E-01,5.15E+00,2.90E-01,0.39,0.03
PLCKESZ_G304.84-41.42,0.41,7.026,-75.6358,1219,8.72,1,0.13,0.09,Ap,1155,1022,1.1,1.20E-12,4.70E-14,6.77E+00,2.70E-01,1.13E+01,8.10E-01,0.44,0.03
PLCKESZ_G337.09-25.97,0.264,288.6564,-59.4722,1256,7.73,0.59,0.16,0.08,Ap,1232,1022,1.2,2.74E-12,6.10E-14,5.76E+00,1.30E-01,9.22E+00,3.90E-01,0.56,0.03
RBS_0653,0.284,82.2209,-39.4705,1353,8.59,0.87,0.24,0.04,Wtd,3522,3072,1.1,2.73E-12,3.50E-14,6.49E+00,8.40E-02,1.08E+01,5.80E-01,0.53,0.01
SC_1329-313,0.048,202.8808,-31.8245,921,3.74,0.2,0.37,0.07,Ap,2567,1022,2.5,4.13E-12,2.50E-13,2.32E-01,1.40E-02,3.13E-01,2.00E-02,0.34,0.04
SDSS-C4-DR3_3144,0.081,179.9675,55.5348,600,1.81,0.28,0.25,0.12,Wtd,975,1022,1,3.73E-13,2.80E-14,6.20E-02,4.70E-03,8.54E-02,6.60E-03,0.64,0.06
SDSS-C4_3062,0.064,122.5973,42.2739,1017,3.89,0.59,1.01,1.19,Ap,1367,1022,1.3,1.65E-12,3.30E-13,1.68E-01,3.30E-02,2.24E-01,4.50E-02,0.57,0.14
SDSS-C4_3072,0.164,260.0416,26.6251,1258,7.01,0.43,0.41,0.06,Wtd,2684,2047,1.3,4.91E-12,9.40E-14,3.57E+00,6.80E-02,5.52E+00,1.80E-01,0.73,0.02
SDSS_+137.3+11.0+0.18,0.18,137.3031,10.9748,1047,5.37,0.34,0.24,0.08,Ap,1147,1022,1.1,2.49E-12,7.80E-14,2.26E+00,7.10E-02,3.25E+00,1.20E-01,0.55,0.03
SDSS_J015021.27-100530.5_GROUP,0.365,27.5885,-10.0915,870,4.02,0.47,0.21,0.12,Ap,1252,1022,1.2,6.36E-13,5.10E-14,2.99E+00,2.40E-01,4.09E+00,3.50E-01,0.66,0.07
SPT-CLJ2043-5035,0.723,310.8231,-50.5923,808,5.99,0.92,0.19,0.12,Ap,1098,1022,1.1,2.25E-13,1.90E-14,5.19E+00,4.40E-01,7.67E+00,7.70E-01,0.64,0.07
SPT-CL_J0102-4915,0.75,15.7378,-49.2725,1206,12.07,0.59,0.06,0.04,Ap,3553,3072,1.2,9.64E-13,2.00E-14,2.09E+01,4.20E-01,4.00E+01,1.60E+00,0.43,0.01
SPT-CL_J0615-5746,0.972,93.9661,-57.7794,1006,11.18,0.94,0.15,0.09,Ap,4427,4097,1.1,5.50E-13,2.10E-14,2.29E+01,8.90E-01,4.23E+01,2.90E+00,0.52,0.04
SPT-CL_J2023-5535,0.232,305.8389,-55.5967,1342,8.34,0.88,0.31,0.1,Ap,1134,1022,1.1,3.25E-12,1.10E-13,5.06E+00,1.70E-01,8.31E+00,5.20E-01,0.34,0.02
UGC_05088_GROUP,0.027,143.3573,34.0481,422,0.81,0.04,0.19,0.06,Ap,2082,1022,2,3.57E-13,7.10E-14,6.33E-03,1.30E-03,9.76E-03,1.90E-03,0.63,0.17
WHL_J093820.9+520243,0.36,144.5847,52.0484,1061,6.99,0.64,0.16,0.08,Ap,2222,2047,1.1,1.10E-12,5.40E-14,4.55E+00,2.30E-01,7.04E+00,4.40E-01,0.45,0.04
