Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
ABELL_2104,0.153,235.034,-3.3038,1268,7.06,0.92,0.26,0.16,Wtd,1351,1022,1.3,5.15E-12,7.30E-14,3.40E+00,4.80E-02,5.27E+00,3.00E-01,0.49,0.01
ABELL_2107,0.041,234.9126,21.7827,963,3.76,0.5,0.27,0.12,Wtd,3004,1022,2.9,9.47E-12,2.10E-13,3.86E-01,8.70E-03,5.23E-01,2.00E-02,0.5,0.02
ABELL_2111,0.229,234.9244,34.4162,1287,7.93,0.64,0.18,0.09,Ap,2322,2047,1.1,2.14E-12,4.40E-14,3.16E+00,6.50E-02,5.10E+00,2.20E-01,0.42,0.02
ABELL_2125,0.246,235.3106,66.2659,777,3.04,0.24,0.19,0.1,Ap,1127,1022,1.1,2.73E-13,1.80E-14,5.32E-01,3.50E-02,7.15E-01,4.70E-02,0.31,0.05
ABELL_2142,0.091,239.5847,27.231,1398,7.64,0.59,0.27,0.08,Wtd,8600,3072,2.8,1.97E-11,1.90E-13,4.05E+00,3.90E-02,6.45E+00,2.40E-01,0.7,0.01
ABELL_2146,0.2343,239.0512,66.3516,1311,8.11,1.03,0.28,0.12,Wtd,4404,4097,1.1,2.76E-12,3.20E-14,4.30E+00,5.00E-02,6.99E+00,4.40E-01,0.59,0.01
ABELL_2151,0.037,241.1494,17.7215,806,2.71,0.31,0.25,0.12,Wtd,2749,1022,2.7,5.03E-12,5.50E-13,1.61E-01,1.80E-02,2.16E-01,2.40E-02,0.62,0.07
ABELL_2163,0.203,243.9412,-6.1491,1751,13.18,1.35,0.24,0.04,Wtd,1547,1022,1.5,1.54E-11,1.20E-13,1.83E+01,1.40E-01,3.64E+01,3.00E+00,0.49,0.01
ABELL_2187,0.184,246.0585,41.24,1242,7.11,0.9,0.32,0.15,Ap,1357,1022,1.3,2.28E-12,1.10E-13,2.05E+00,9.60E-02,3.18E+00,2.30E-01,0.48,0.04
ABELL_2204,0.152,248.1956,5.5755,1469,8.68,0.85,0.34,0.13,Wtd,1452,1022,1.4,8.23E-12,7.20E-14,5.12E+00,4.50E-02,8.53E+00,4.40E-01,0.79,0.01
ABELL_2218,0.176,248.9614,66.2101,1171,6.32,0.55,0.2,0.08,Wtd,2557,2047,1.2,4.38E-12,9.30E-14,3.70E+00,7.80E-02,5.55E+00,2.20E-01,0.46,0.02
ABELL_2219,0.226,250.0829,46.7119,1547,10.89,0.8,0.28,0.1,Wtd,4872,4097,1.2,9.16E-12,6.10E-14,1.27E+01,8.50E-02,2.33E+01,1.10E+00,0.44,0.01
ABELL_2249,0.082,257.4381,34.4552,1089,5.39,0.39,0.21,0.11,Ap,1196,1022,1.2,6.52E-12,2.60E-13,1.07E+00,4.30E-02,1.54E+00,7.20E-02,0.27,0.02
ABELL_2255,0.081,258.1725,64.0728,1181,5.97,0.37,0.33,0.12,Wtd,1642,1022,1.6,1.10E-11,1.70E-13,1.75E+00,2.60E-02,2.58E+00,6.90E-02,0.22,0.01
ABELL_2259,0.164,260.0317,27.6705,1156,5.88,0.6,0.41,0.14,Ap,1239,1022,1.2,3.76E-12,1.70E-13,2.76E+00,1.30E-01,4.05E+00,2.40E-01,0.48,0.04
ABELL_2261,0.224,260.6133,32.1328,1341,8.2,0.66,0.32,0.08,Ap,1209,1022,1.2,4.22E-12,1.00E-13,5.99E+00,1.40E-01,9.77E+00,4.50E-01,0.63,0.02
ABELL_2294,0.169,261.0495,85.8863,1269,7.2,0.76,0.33,0.12,Ap,1368,1022,1.3,5.09E-12,2.10E-13,4.06E+00,1.70E-01,6.34E+00,3.90E-01,0.47,0.03
ABELL_2302,0.179,274.9918,57.1561,984,4.91,0.46,0.19,0.1,Ap,2331,2047,1.1,1.23E-12,6.00E-14,1.12E+00,5.50E-02,1.58E+00,8.90E-02,0.26,0.04
ABELL_2319,0.056,290.2945,43.9516,1548,8.58,1.52,0.32,0.14,Wtd,3293,1022,3.2,6.98E-11,5.90E-13,5.36E+00,4.50E-02,8.89E+00,8.10E-01,0.43,0.01
ABELL_2345,0.1765,321.7897,-12.1748,1117,6.23,0.75,0.32,0.16,Ap,1122,1022,1.1,2.06E-12,9.60E-14,1.79E+00,8.30E-02,2.68E+00,1.70E-01,0.26,0.03
ABELL_2384,0.094,328.0888,-19.5474,1160,5.52,0.84,0.43,0.18,Wtd,1824,1022,1.8,3.99E-12,8.20E-14,8.91E-01,1.80E-02,1.29E+00,7.00E-02,0.57,0.02
ABELL_2390,0.228,328.4032,17.6954,1484,9.99,1.39,0.29,0.1,Wtd,1074,1022,1.1,8.18E-12,5.90E-14,1.23E+01,8.90E-02,2.17E+01,1.80E+00,0.56,0.01
ABELL_2409,0.148,330.2184,20.9687,1128,5.73,0.4,0.35,0.09,Ap,1267,1022,1.2,6.27E-12,2.20E-13,3.82E+00,1.40E-01,5.56E+00,2.40E-01,0.47,0.03
ABELL_2415,0.058,331.4105,-5.5925,776,2.85,0.18,0.41,0.1,Wtd,1234,1022,1.2,4.11E-12,2.00E-13,3.50E-01,1.70E-02,4.63E-01,2.30E-02,0.53,0.06
ABELL_2426,0.098,333.6347,-10.3705,1167,6,0.47,0.22,0.11,Ap,1287,1022,1.3,5.85E-12,1.90E-13,1.42E+00,4.50E-02,2.10E+00,8.90E-02,0.51,0.03
ABELL_2443,0.108,336.5259,17.3662,1124,5.34,0.38,0.14,0.08,Ap,1509,1022,1.5,5.02E-12,1.60E-13,1.54E+00,4.90E-02,2.21E+00,8.60E-02,0.52,0.02
ABELL_2445,0.166,336.7336,25.8351,918,4.02,0.23,0.52,0.09,Ap,1154,1022,1.1,1.90E-12,7.20E-14,1.51E+00,5.70E-02,2.05E+00,8.20E-02,0.55,0.03
ABELL_2457,0.059,338.9221,1.4867,874,4,0.26,0.32,0.09,Ap,1391,1022,1.4,5.20E-12,2.50E-13,4.61E-01,2.20E-02,6.28E-01,3.20E-02,0.36,0.04
ABELL_2485,0.247,342.1291,-16.1079,1161,6.82,0.75,0.35,0.14,Ap,1245,1022,1.2,1.31E-12,5.50E-14,2.35E+00,9.90E-02,3.61E+00,2.20E-01,0.51,0.04
ABELL_2507,0.196,344.2194,5.5046,1020,4.29,0.45,0.43,0.16,Ap,1094,1022,1.1,8.52E-13,5.70E-14,9.78E-01,6.50E-02,1.34E+00,9.60E-02,0.24,0.04
ABELL_2537,0.295,347.0929,-2.1916,1160,6.63,0.63,0.22,0.04,Wtd,2320,2047,1.1,1.47E-12,3.70E-14,4.00E+00,1.00E-01,6.09E+00,2.70E-01,0.54,0.02
ABELL_2550,0.123,347.8993,-21.7462,604,1.97,0.15,0.2,0.11,Wtd,1108,1022,1.1,4.48E-13,3.10E-14,1.86E-01,1.30E-02,2.56E-01,1.80E-02,0.63,0.06
ABELL_2556,0.087,348.2556,-21.6344,926,3.72,0.43,0.38,0.08,Wtd,1160,1022,1.1,3.58E-12,7.70E-14,6.80E-01,1.50E-02,9.15E-01,3.10E-02,0.68,0.02
ABELL_2597,0.085,351.3326,-12.1242,1010,4.27,0.29,0.27,0.08,Wtd,3979,3072,1.3,3.95E-12,5.80E-14,7.15E-01,1.10E-02,9.85E-01,2.20E-02,0.82,0.01
ABELL_2631,0.273,354.4082,0.2672,1268,7.87,1,0.23,0.11,Ap,1241,1022,1.2,2.73E-12,1.10E-13,6.07E+00,2.30E-01,9.77E+00,7.00E-01,0.38,0.03
ABELL_2657,0.04,356.2389,9.1921,902,3.53,0.33,0.27,0.13,Wtd,2919,1022,2.9,1.32E-11,3.80E-13,5.21E-01,1.50E-02,7.02E-01,2.50E-02,0.45,0.02
ABELL_2665,0.056,357.7109,6.1503,1035,4.16,0.29,0.21,0.09,Ap,1369,1022,1.3,5.41E-12,1.60E-13,4.19E-01,1.20E-02,5.76E-01,2.00E-02,0.51,0.04
ABELL_2667,0.23,357.9141,-26.0837,1321,8.73,0.88,0.2,0.11,Ap,1023,1022,1,4.27E-12,1.20E-13,6.29E+00,1.80E-01,1.05E+01,6.30E-01,0.66,0.03
ABELL_2670,0.076,358.5571,-10.4192,966,4.17,0.69,0.33,0.13,Wtd,1967,1022,1.9,4.31E-12,1.30E-13,6.20E-01,1.80E-02,8.50E-01,4.30E-02,0.51,0.02
ABELL_2717,0.049,0.804,-35.9334,757,2.62,0.2,0.38,0.16,Wtd,2868,2047,1.4,3.06E-12,1.40E-13,1.73E-01,8.00E-03,2.30E-01,1.10E-02,0.58,0.04
ABELL_2744,0.308,3.5807,-30.3909,1410,10.47,0.35,0.32,0.11,Wtd,4865,4097,1.2,3.96E-12,5.40E-14,1.10E+01,1.50E-01,1.98E+01,5.00E-01,0.33,0.01
ABELL_2813,0.292,10.8535,-20.6234,1223,7.74,0.79,0.31,0.1,Ap,1317,1022,1.3,2.44E-12,8.40E-14,6.21E+00,2.10E-01,9.92E+00,5.80E-01,0.46,0.03
ABELL_2895,0.227,19.5469,-26.9653,1355,8.91,1.01,0.36,0.13,Ap,1366,1022,1.3,2.77E-12,9.30E-14,3.94E+00,1.30E-01,6.63E+00,4.60E-01,0.44,0.03
ABELL_3017,0.22,36.4715,-41.9152,1246,7.41,1.11,0,0.06,Ap,1152,1022,1.1,2.52E-12,1.20E-13,3.40E+00,1.60E-01,5.38E+00,4.30E-01,0.52,0.04
ABELL_3088,0.253,46.7581,-28.6658,1295,8.08,0.94,0.21,0.11,Ap,1268,1022,1.2,2.39E-12,8.10E-14,4.39E+00,1.50E-01,7.13E+00,4.70E-01,0.6,0.03
